etiqueta_compra,p_compra_real,p_compra_aprox,etiqueta_venta,p_venta_real,p_venta_aprox,usd,pesos_final,ganancia,ea_ganancia,er_ganancia_pct,rent_pct,ea_rent,solida
2023-02,798.26,800.00,2023-03,809.50,810.00,1250.00,1012500.00,12500.00,2832.37,22.7,1.25,0.28,True
2023-02,798.26,800.00,2023-04,803.84,800.00,1250.00,1000000.00,0.00,6956.81,inf,0.00,inf,False
2023-02,798.26,800.00,2023-05,798.64,800.00,1250.00,1000000.00,0.00,3882.64,inf,0.00,inf,False
2023-02,798.26,800.00,2023-06,799.87,800.00,1250.00,1000000.00,0.00,2342.27,inf,0.00,inf,False
2023-02,798.26,800.00,2023-07,813.40,810.00,1250.00,1012500.00,12500.00,6439.22,51.5,1.25,0.64,True
2023-02,798.26,800.00,2023-08,855.66,860.00,1250.00,1075000.00,75000.00,7795.74,10.4,7.50,0.78,True
2023-02,798.26,800.00,2023-09,884.40,880.00,1250.00,1100000.00,100000.00,7870.35,7.9,10.00,0.79,True
2023-02,798.26,800.00,2023-10,926.35,930.00,1250.00,1162500.00,162500.00,7114.43,4.4,16.25,0.71,True
2023-02,798.26,800.00,2023-11,886.61,890.00,1250.00,1112500.00,112500.00,6678.66,5.9,11.25,0.67,True
2023-02,798.26,800.00,2023-12,874.67,870.00,1250.00,1087500.00,87500.00,8176.80,9.3,8.75,0.82,True
2023-02,798.26,800.00,2024-01,907.99,910.00,1250.00,1137500.00,137500.00,4997.52,3.6,13.75,0.50,True
2023-02,798.26,800.00,2024-02,963.44,960.00,1250.00,1200000.00,200000.00,6900.34,3.5,20.00,0.69,True
2023-02,798.26,800.00,2024-03,967.93,970.00,1250.00,1212500.00,212500.00,5235.97,2.5,21.25,0.52,True
2023-02,798.26,800.00,2024-04,960.14,960.00,1250.00,1200000.00,200000.00,2790.66,1.4,20.00,0.28,True
2023-02,798.26,800.00,2024-05,917.88,920.00,1250.00,1150000.00,150000.00,5162.82,3.4,15.00,0.52,True
2023-02,798.26,800.00,2024-06,926.08,930.00,1250.00,1162500.00,162500.00,7454.69,4.6,16.25,0.75,True
2023-02,798.26,800.00,2024-07,937.56,940.00,1250.00,1175000.00,175000.00,5619.13,3.2,17.50,0.56,True
2023-02,798.26,800.00,2024-08,929.90,930.00,1250.00,1162500.00,162500.00,2658.96,1.6,16.25,0.27,True
2023-02,798.26,800.00,2024-09,926.21,930.00,1250.00,1162500.00,162500.00,7290.83,4.5,16.25,0.73,True
2023-02,798.26,800.00,2024-10,933.81,930.00,1250.00,1162500.00,162500.00,7277.02,4.5,16.25,0.73,True
2023-02,798.26,800.00,2024-11,971.60,970.00,1250.00,1212500.00,212500.00,4639.64,2.2,21.25,0.46,True
2023-02,798.26,800.00,2024-12,982.30,980.00,1250.00,1225000.00,225000.00,5538.45,2.5,22.50,0.55,True
2023-02,798.26,800.00,2025-01,1000.76,1000.00,1250.00,1250000.00,250000.00,3673.95,1.5,25.00,0.37,True
2023-02,798.26,800.00,2025-02,956.62,960.00,1250.00,1200000.00,200000.00,6855.62,3.4,20.00,0.69,True
2023-02,798.26,800.00,2025-03,932.55,930.00,1250.00,1162500.00,162500.00,5712.73,3.5,16.25,0.57,True
2023-02,798.26,800.00,2025-04,961.96,960.00,1250.00,1200000.00,200000.00,5060.70,2.5,20.00,0.51,True
2023-02,798.26,800.00,2025-05,941.01,940.00,1250.00,1175000.00,175000.00,3822.34,2.2,17.50,0.38,True
2023-02,798.26,800.00,2025-06,938.04,940.00,1250.00,1175000.00,175000.00,5016.31,2.9,17.50,0.50,True
2023-02,798.26,800.00,2025-07,951.55,950.00,1250.00,1187500.00,187500.00,4522.79,2.4,18.75,0.45,True
2023-02,798.26,800.00,2025-08,966.30,970.00,1250.00,1212500.00,212500.00,7285.65,3.4,21.25,0.73,True
2023-02,798.26,800.00,2025-09,960.37,960.00,1250.00,1200000.00,200000.00,3078.01,1.5,20.00,0.31,True
2023-02,798.26,800.00,2025-10,953.97,950.00,1250.00,1187500.00,187500.00,7530.29,4.0,18.75,0.75,True
2023-02,798.26,800.00,2025-11,935.70,940.00,1250.00,1175000.00,175000.00,7960.90,4.5,17.50,0.80,True
2023-02,798.26,800.00,2025-12,916.16,920.00,1250.00,1150000.00,150000.00,7326.82,4.9,15.00,0.73,True
