anio,mes,mes_num,etiqueta,valor_real,valor_aprox,ea,er_pct
2022,Enero,1,2022-01,822.05,820.00,2.0500,0.2494
2022,Febrero,2,2022-02,807.07,810.00,2.9300,0.3630
2022,Marzo,3,2022-03,799.19,800.00,0.8100,0.1014
2022,Abril,4,2022-04,815.12,820.00,4.8800,0.5987
2022,Mayo,5,2022-05,849.39,850.00,0.6100,0.0718
2022,Junio,6,2022-06,857.77,860.00,2.2300,0.2600
2022,Julio,7,2022-07,953.71,950.00,3.7100,0.3890
2022,Agosto,8,2022-08,904.35,900.00,4.3500,0.4810
2022,Septiembre,9,2022-09,921.01,920.00,1.0100,0.1097
2022,Octubre,10,2022-10,955.89,960.00,4.1100,0.4300
2022,Noviembre,11,2022-11,917.05,920.00,2.9500,0.3217
2022,Diciembre,12,2022-12,875.66,880.00,4.3400,0.4956
2023,Enero,1,2023-01,826.34,830.00,3.6600,0.4429
2023,Febrero,2,2023-02,798.26,800.00,1.7400,0.2180
2023,Marzo,3,2023-03,809.50,810.00,0.5000,0.0618
2023,Abril,4,2023-04,803.84,800.00,3.8400,0.4777
2023,Mayo,5,2023-05,798.64,800.00,1.3600,0.1703
2023,Junio,6,2023-06,799.87,800.00,0.1300,0.0163
2023,Julio,7,2023-07,813.40,810.00,3.4000,0.4180
2023,Agosto,8,2023-08,855.66,860.00,4.3400,0.5072
2023,Septiembre,9,2023-09,884.40,880.00,4.4000,0.4975
2023,Octubre,10,2023-10,926.35,930.00,3.6500,0.3940
2023,Noviembre,11,2023-11,886.61,890.00,3.3900,0.3824
2023,Diciembre,12,2023-12,874.67,870.00,4.6700,0.5339
2024,Enero,1,2024-01,907.99,910.00,2.0100,0.2214
2024,Febrero,2,2024-02,963.44,960.00,3.4400,0.3571
2024,Marzo,3,2024-03,967.93,970.00,2.0700,0.2139
2024,Abril,4,2024-04,960.14,960.00,0.1400,0.0146
2024,Mayo,5,2024-05,917.88,920.00,2.1200,0.2310
2024,Junio,6,2024-06,926.08,930.00,3.9200,0.4233
2024,Julio,7,2024-07,937.56,940.00,2.4400,0.2603
2024,Agosto,8,2024-08,929.90,930.00,0.1000,0.0108
2024,Septiembre,9,2024-09,926.21,930.00,3.7900,0.4092
2024,Octubre,10,2024-10,933.81,930.00,3.8100,0.4080
2024,Noviembre,11,2024-11,971.60,970.00,1.6000,0.1647
2024,Diciembre,12,2024-12,982.30,980.00,2.3000,0.2341
2025,Enero,1,2025-01,1000.76,1000.00,0.7600,0.0759
2025,Febrero,2,2025-02,956.62,960.00,3.3800,0.3533
2025,Marzo,3,2025-03,932.55,930.00,2.5500,0.2734
2025,Abril,4,2025-04,961.96,960.00,1.9600,0.2038
2025,Mayo,5,2025-05,941.01,940.00,1.0100,0.1073
2025,Junio,6,2025-06,938.04,940.00,1.9600,0.2089
2025,Julio,7,2025-07,951.55,950.00,1.5500,0.1629
2025,Agosto,8,2025-08,966.30,970.00,3.7000,0.3829
2025,Septiembre,9,2025-09,960.37,960.00,0.3700,0.0385
2025,Octubre,10,2025-10,953.97,950.00,3.9700,0.4162
2025,Noviembre,11,2025-11,935.70,940.00,4.3000,0.4595
2025,Diciembre,12,2025-12,916.16,920.00,3.8400,0.4191
