desde,hasta,delta_real,delta_aprox,ea_delta,er_delta_pct,concluyente,signo_seguro
2022-01,2022-02,-14.98,-10.00,4.98,49.8,True,True
2022-02,2022-03,-7.88,-10.00,3.74,37.4,True,True
2022-03,2022-04,15.93,20.00,5.69,28.4,True,True
2022-04,2022-05,34.27,30.00,5.49,18.3,True,True
2022-05,2022-06,8.38,10.00,2.84,28.4,True,True
2022-06,2022-07,95.94,90.00,5.94,6.6,True,True
2022-07,2022-08,-49.36,-50.00,8.06,16.1,True,True
2022-08,2022-09,16.66,20.00,5.36,26.8,True,True
2022-09,2022-10,34.88,40.00,5.12,12.8,True,True
2022-10,2022-11,-38.84,-40.00,7.06,17.7,True,True
2022-11,2022-12,-41.39,-40.00,7.29,18.2,True,True
2022-12,2023-01,-49.32,-50.00,8.00,16.0,True,True
2023-01,2023-02,-28.08,-30.00,5.40,18.0,True,True
2023-02,2023-03,11.24,10.00,2.24,22.4,True,True
2023-03,2023-04,-5.66,-10.00,4.34,43.4,True,True
2023-04,2023-05,-5.20,0.00,5.20,inf,False,False
2023-05,2023-06,1.23,0.00,1.49,inf,False,False
2023-06,2023-07,13.53,10.00,3.53,35.3,True,True
2023-07,2023-08,42.26,50.00,7.74,15.5,True,True
2023-08,2023-09,28.74,20.00,8.74,43.7,True,True
2023-09,2023-10,41.95,50.00,8.05,16.1,True,True
2023-10,2023-11,-39.74,-40.00,7.04,17.6,True,True
2023-11,2023-12,-11.94,-20.00,8.06,40.3,True,True
2023-12,2024-01,33.32,40.00,6.68,16.7,True,True
2024-01,2024-02,55.45,50.00,5.45,10.9,True,True
2024-02,2024-03,4.49,10.00,5.51,55.1,True,True
2024-03,2024-04,-7.79,-10.00,2.21,22.1,True,True
2024-04,2024-05,-42.26,-40.00,2.26,5.6,True,True
2024-05,2024-06,8.20,10.00,6.04,60.4,True,True
2024-06,2024-07,11.48,10.00,6.36,63.6,True,True
2024-07,2024-08,-7.66,-10.00,2.54,25.4,True,True
2024-08,2024-09,-3.69,0.00,3.89,inf,False,False
2024-09,2024-10,7.60,0.00,7.60,inf,False,False
2024-10,2024-11,37.79,40.00,5.41,13.5,True,True
2024-11,2024-12,10.70,10.00,3.90,39.0,True,True
2024-12,2025-01,18.46,20.00,3.06,15.3,True,True
2025-01,2025-02,-44.14,-40.00,4.14,10.3,True,True
2025-02,2025-03,-24.07,-30.00,5.93,19.8,True,True
2025-03,2025-04,29.41,30.00,4.51,15.0,True,True
2025-04,2025-05,-20.95,-20.00,2.97,14.9,True,True
2025-05,2025-06,-2.97,0.00,2.97,inf,False,False
2025-06,2025-07,13.51,10.00,3.51,35.1,True,True
2025-07,2025-08,14.75,20.00,5.25,26.2,True,True
2025-08,2025-09,-5.93,-10.00,4.07,40.7,True,True
2025-09,2025-10,-6.40,-10.00,4.34,43.4,True,True
2025-10,2025-11,-18.27,-10.00,8.27,82.7,True,True
2025-11,2025-12,-19.54,-20.00,8.14,40.7,True,True
